subject_code,geclassification,credit,discussion,grade,major,presentation,professor,semester,subject_classification,subject_difficulty,subject_name,subject_rating,team_play,year
501992,C영역,3,10,1~4,소프트웨어전공,0,주성순,2,융합(계열),2,4차산업혁명과미래사회,2.67,0,2023
502020,,3,0,2,소프트웨어전공,0,이재호,2,전선,3.5,C와리눅스2,4.33,0,2023
502478,,3,0,2,소프트웨어전공,5,강지헌,2,전선,3.5,데이터 분석 프로그래밍,0,5,2023
502022,,3,0,2,소프트웨어전공,0,이형규,2,전선,3.5,데이터구조와알고리즘,3,0,2023
502474,,3,0,3,소프트웨어전공,5,이형규,2,전선,4.5,딥러닝 응용,4,20,2023
502234,,3,0,4,소프트웨어전공,0,강지헌,2,전선,5.5,딥러닝플랫폼실습,0,0,2023
502028,,3,20,3,소프트웨어전공,0,음두헌,2,전선,4.5,모던C++프로그래밍,4,0,2023
502235,,3,0,4,소프트웨어전공,20,유제혁,2,전선,5.5,빅데이터플랫폼실습(영어강의),0,0,2023
502232,,3,0,3,소프트웨어전공,10,이재호,2,전선,4.5,사물인터넷 프로그래밍,0,0,2023
501990,C영역,3,0,1~4,소프트웨어전공,0,주성순,2,융합(계열),2,생활코딩-스크래치,3.21,0,2023
502657,,3,0,3,소프트웨어전공,20,이재호,2,전선,5,소프트웨어 프로젝트1 (캡스톤 디자인),2.33,60,2023
502027,,3,20,3,소프트웨어전공,0,음두헌,2,전선,4,안드로이드프로그래밍,2.5,0,2023
502315,A3영역,3,20,1~4,소프트웨어전공,10,이형규,2,융합(계열),2.5,인공지능과사회,4.25,0,2023
502021,,3,40,2,소프트웨어전공,0,음두헌,2,전선,3,자바객체지향프로그래밍1,3.5,0,2023
501991,C영역,3,30,1~4,소프트웨어전공,0,왕수현,2,융합(계열),2.5,컴퓨터의이해와활용,2.88,0,2023
004734,,3,0,2,컴퓨터공학전공,0,박우창,2,전선,3,자료구조론,3.38,0,2023
004736,,3,0,2,컴퓨터공학전공,0,남송휘,2,전선,3,객체지향프로그래밍,3,0,2023
004740,,3,0,2,컴퓨터공학전공,0,유제혁,2,전선,3,인터넷프로그래밍,0,0,2023
004745,,3,0,3,컴퓨터공학전공,0,이경미,2,전선,4,멀티미디어프로그래밍,3.45,0,2023
004747,,3,0,3,컴퓨터공학전공,0,이주영,2,전선,4,알고리즘,2.9,0,2023
004748,,3,0,3,컴퓨터공학전공,20,남송휘,2,전선,4,소프트웨어공학,0,30,2023
004750,,3,0,3,컴퓨터공학전공,0,박우창,2,전선,4,데이터베이스프로그래밍,3.09,0,2023
004759,,3,0,4,컴퓨터공학전공,0,유견아,2,전선,5,인공지능,3.6,0,2023
004760,,3,0,4,컴퓨터공학전공,0,이주영,2,전선,5,인터넷보안,3.67,0,2023
004870,,3,0,2,IT미디어공학전공,0,정원호,2,전선,3,객체프로그래밍,4.14,30,2023
005520,,3,0,2,컴퓨터공학전공,0,최승훈,2,전선,3,리눅스프로그래밍,3.6,0,2023
005645,,3,0,4,컴퓨터공학전공,20,이주영,2,전필,5.5,졸업프로젝트2(캡스톤디자인)(영어강의),0,70,2023
005646,,3,0,4,IT미디어공학전공,0,이난경,2,전선,5,시스템소프트웨어,0,0,2023
005844,,3,0,2,시각디자인전공,0,이상미/홍승희,2,전선,3,타입&커뮤니케이션디자인,4.4,30,2023
005981,,3,0,3,IT미디어공학전공,10,이정섭,2,전선,4,안드로이드플랫폼,5,0,2023
005997,,3,0,3,시각디자인전공,0,김승민/신지원,2,전선,4,일러스트레이션프로젝트,0,0,2023
501617,,3,0,3,IT미디어공학전공,0,백대현,2,전선,4,입체영상(캡스톤디자인),0,0,2023
501728,,3,0,3,시각디자인전공,0,이승진/훙승희,2,전선,4,브랜드&패키지디자인,4.5,40,2023
501734,,3,0,4,시각디자인전공,30,이승진,2,전선,5.5,커뮤니케이션디자인졸업프로젝트,2,0,2023
501735,,3,40,4,시각디자인전공,10,이문선,2,전선,5.5,영상콘텐츠디자인졸업프로젝트,0,0,2023
501736,,3,0,4,시각디자인전공,0,김승민,2,전선,5.5,스토리텔링일러스트졸업프로젝트,5,0,2023
501854,C영역,3,0,1~4,컴퓨터공학전공,0,이찬수,2,융합(계열),2,프로그래밍과친해지기,4.5,0,2023
501855,C영역,3,0,1~4,컴퓨터공학전공,0,유견아,2,융합(계열),2,데이터와친해지기,0,0,2023
501881,B영역,3,0,1~4,시각디자인전공,0,신지원,2,융합(계열),2,세계디자인탐구,3.83,0,2023
501882,B영역,3,10,1~4,시각디자인전공,20,김천수,2,융합(계열),2,디지털디자인,4.36,0,2023
501978,C영역,3,0,1~4,IT미디어공학전공,0,박성희,2,융합(계열),2,소셜그래픽,4.81,0,2023
501993,,3,0,2,사이버보안전공,0,박태정,2,전선,3,자료구조,4,0,2023
501997,,3,0,2,사이버보안전공,0,김효석,2,전선,3,컴퓨터통신,0,0,2023
501998,,3,0,2,사이버보안전공,0,정혜진,2,전선,3,심화객체프로그래밍,0,0,2023
502000,,3,0,2,사이버보안전공,0,백남균,2,전선,3,응용암호학(영어강의),0,0,2023
502008,,3,0,3,사이버보안전공,0,강남희,2,전선,4,사물인터넷보안,0,0,2023
502013,,3,0,3,사이버보안전공,0,박태정,2,융합(계열),4,딥러닝,0,0,2023
502100,,3,0,1~4,IT미디어공학전공,0,미정,2,설계,2,소셜퍼블리싱,0,0,2023
502211,,3,0,2,컴퓨터공학전공,0,이찬수,2,전선,3,JAVA프로그래밍,3.75,0,2023
502214,,3,0,2,IT미디어공학전공,0,임양규,2,전선,3,디지털오디오제작기초,4.71,10,2023
502215,,3,0,2,IT미디어공학전공,0,심보광,2,전선,4,콘텐츠빅데이터,4.2,0,2023
502218,,3,0,2,IT미디어공학전공,0,김상준,2,전선,3,기계학습,4.6,0,2023
